#
# Copyright (c) Enalean SAS, Tuleap Team, 2011 - Present. All rights reserved
# Copyright (c) Xerox Corporation, Codendi Team, 2001-2009. All rights reserved
# This file is licensed under the GNU General Public License version 2. See the file COPYING.
#


widget_imageviewer	invalid_url	Seules les URLs http:// et https:// sont acceptées.

widget_description_my_bookmarks	description	Affiche la liste de vos favoris (sur Tuleap ou externes).<br>A noter que ces pointeurs vers vos favoris peuvent être très sophistiqués. Ils permettent par exemple de mémoriser une requête multi-critères effectuée sur un tracker.<br>Les marques-pages peuvent étre édités, ce qui signifie que vous pouvez modifier à la fois le titre et l'url.
widget_description_my_monitored_fp	description	Affiche la liste les fichiers que vous surveillez, par projet. Pour interrompre la surveillance, il vous suffit de cliquer sur la corbeille à côté de l'item concerné.
widget_description_my_projects	description	Affiche la liste les projets auxquels vous appartenez. La sélection d'un de ces projets vous amène sur sa page sommaire.
widget_description_rss	description	Permet d'inclure dans votre page personnelle des fils rss (ou atom) publics.
widget_description_my_system_event	description	Affiche les événements système.
widget_description_project_latest_file_releases	description	Affiche la liste des versions les plus récentes des paquets logiciels disponibles en téléchargement. L'icône Notes permet de consulter les notes concernant cette version ainsi qu'un résumé des changements (Changelog). <br>A proximité se situe l'icône de surveillance de ce paquet. La sélection de cette icône active la surveillance automatique de ce paquet logiciel par Tuleap. <br>A chaque fois que l'équipe de projet dépose une nouvelle version du logiciel, un message de notification vous est envoyé. Tous les paquets sous surveillance se trouvent sur votre Page Personnelle et la surveillance peut être désactivée depuis cette page ou depuis la page principale du gestionnaire de fichiers.
widget_description_project_description	description	Affiche la description du projet.
widget_description_project_contacts	description	Vous permet de contacter les administrateurs de projet

widget_project_contacts	title	Contacts
