#/**
#  *
#  * Admin scripts message catalog (English)
#  *
#  * Codendi
#  * Copyright (c) Xerox Corporation, Codendi Team, 2001-2009. All rights reserved
#  * http://www.codendi.com
#  *
#  *
#  */
#
#

admin_sidebar	users_section_标题的用户
admin_sidebar	users_search_placeholder	电子邮件用户名…
admin_sidebar	users_nav_all_users	所有用户
admin_sidebar	users_nav_new_user	 新用户
admin_sidebar	users_nav_pending_users	待用户
admin_sidebar	users_nav_validated_users	等待邮件激活的用户
admin_sidebar	users_nav_permission_delegation	权限委托代理
admin_sidebar	projects_section_title	项目
admin_sidebar	projects_search_placeholder	和UNIX名称…
admin_sidebar	projects_nav_all_projects	所有的项目
admin_sidebar	projects_nav_pending_projects	待项目
admin_sidebar	projects_nav_configuration	项目配置
admin_sidebar	configuration_section_title	全局配置
admin_sidebar	configuration_nav_global_access_rights	全球的访问权限
admin_sidebar	configuration_nav_homepage	主页
admin_sidebar	configuration_nav_categories	项目类别
admin_sidebar	configuration_nav_project_fields	自定义项目领域
admin_sidebar	configuration_nav_predefined_references	预定义的项目引用
admin_sidebar	configuration_nav_tracker_restore	待跟踪去除
admin_sidebar	configuration_nav_svn	管理SVN
admin_sidebar	utils_section_title	全球工具
admin_sidebar	utils_nav_system_events系统事件
admin_sidebar	utils_nav_news	新闻审批
admin_sidebar	utils_nav_mass_mail群发邮件
admin_sidebar	links_nav_plugins	插件
admin_sidebar	links_nav_doc	文档

#-----------------------------------------------
# Script: SF/www/admin/index.php
#
admin_main	title		网站管理
admin_main	header		行政职能
admin_main	forgeupgrade	<h4><i class="警告标志 fa fa-warning tlp-alert-icon"></i> 提炼升级没有运行!</h4><p>似乎有人升级tuleap RPM，但没有升级命令。请检查 <a href="http://tuleap-documentation.readthedocs.org/en/latest/installation-guide/update.html">upgrade documentation</a>.</p>
admin_main	header_user	待用户
admin_main	display_user	显示用户开始：
admin_main	search_user	用户
admin_main	search	搜索
admin_main	export_csv	导出CSV
admin_main	review_pending_users	待用户评论
admin_main	review_pending_users_empty	没有用户验证
admin_main	pending_user	用户在 <a href="$1"><B>P</B> （待定）状态</a>
admin_main	validated_user	验证用户 <a href="$1"><B>等待邮箱激活</B></a>
admin_main	need_approval	需批准
admin_main	need_validation需要验证
admin_main	header_group	待项目
admin_main	display_group	显示项目开始：
admin_main	search_group	搜索（组ID，UNIX名称，实名）：
admin_main	all_users	All <a href="$1">用户</a>
admin_main	all_groups	All <a href="$1">项目</a>
admin_main	review_pending_projects	审查待批的项目
admin_main	review_pending_projects_empty	没有要验证的项目
admin_main	incomplete_group	项目 <a href="$1"><B>I</B> （不完全）状态</A>
admin_main	pending_group	项目 <a href="$1"><B>P</B>（待定）状态</A>
admin_main	deleted_group	项目 <a href="$1"><B>D</B> （已删除）状态</A>
admin_main	header_svc	服务管理
admin_main	configure_svc	预定义服务配置
admin_main	header_ref	参考管理
admin_main	configure_ref	预定义引用的配置
admin_main	header_tracker	跟踪管理
admin_main	header_svn	Subversion管理
admin_main	svn_token_config	令牌的项目配置
admin_main	tracker_remove	待跟踪的去除
admin_main	tracker_template	预定义的跟踪V3模板的配置
admin_main	header_stat	统计
admin_main	stat_login	查看最近的登录
admin_main	stat_spu	看全球的统计数据
admin_main	header_utils	网站事业
admin_main	mail_engine	邮件群发引擎
admin_main	header_sstat	统计
admin_main	header_plugins	插件
admin_main	manage_all_plugins	管理所有的插件
admin_main	servers	服务器
admin_main	servers_admin	服务器管理
admin_main	sstat_reg_u 注册活跃或受限网站用户
admin_main	sstat_reg_g	注册
admin_main	sstat_reg_act_g	活跃的
admin_main	sstat_deleted	删除
admin_main	sstat_pend_g	等待
admin_main	sstat_pend_u	等待用户
admin_main	site_news	网站新闻
admin_main	site_news_approval	网站新闻的批准
admin_main	trove_cat	Trove类别
admin_main	trove_cat_list	管理类别清单
admin_main	trove_cat_add	添加一个
admin_main	new_user	新用户
admin_main	detail_button_label	详细资料
admin_main	permission_delegation	权限委托代理
admin_main	active_users	每个活动
admin_main	lastday_users	活动持续24小时
admin_main	lastweek_users	活动最后一周
admin_main	lastmonth_users	活动的最后一个月
admin_main	last3months_users	活跃最近3个月
admin_main	mode_lab_users	使用模式实验室的活动或受限用户
admin_main	mode_lab_users_nb_users	用户
admin_main	stat_projects	项目统计
admin_main	status_project	每个状态
admin_main	stat_users	用户统计
